"bucket","lower_limit","upper_limit","num"
9839,24033.64372,24036.08666,1
9916,24221.75010,24224.19304,1
9920,24231.52186,24233.96480,1
9951,24307.25300,24309.69594,1
9954,24314.58182,24317.02476,1
9961,24331.68240,24334.12534,1
9998,24422.07118,24424.51412,1
10092,24651.70754,24654.15048,3
10101,24673.69400,24676.13694,1
10179,24864.24332,24866.68626,1
10182,24871.57214,24874.01508,1
10188,24886.22978,24888.67272,1
10194,24900.88742,24903.33036,1
10352,25286.87194,25289.31488,2
10357,25299.08664,25301.52958,1
10377,25347.94544,25350.38838,1
10415,25440.77716,25443.22010,1
10497,25641.09824,25643.54118,1
10499,25645.98412,25648.42706,1
10501,25650.87000,25653.31294,1
10552,25775.45994,25777.90288,1
10583,25851.19108,25853.63402,1
10740,26234.73266,26237.17560,1
10744,26244.50442,26246.94736,2
10750,26259.16206,26261.60500,1
10761,26286.03440,26288.47734,1
10798,26376.42318,26378.86612,1
10812,26410.62434,26413.06728,1
10822,26435.05374,26437.49668,1
10848,26498.57018,26501.01312,1
10882,26581.63014,26584.07308,1
10905,26637.81776,26640.26070,1
10918,26669.57598,26672.01892,1
10932,26703.77714,26706.22008,1
10947,26740.42124,26742.86418,1
10955,26759.96476,26762.40770,1
10971,26799.05180,26801.49474,1
10993,26852.79648,26855.23942,1
11088,27084.87578,27087.31872,1
11093,27097.09048,27099.53342,1
11097,27106.86224,27109.30518,1
11168,27280.31098,27282.75392,1
11248,27475.74618,27478.18912,1
11259,27502.61852,27505.06146,1
11367,27766.45604,27768.89898,1
11386,27812.87190,27815.31484,1
11458,27988.76358,27991.20652,1
11519,28137.78292,28140.22586,1
11589,28308.78872,28311.23166,1
11682,28535.98214,28538.42508,1
11716,28619.04210,28621.48504,1
11761,28728.97440,28731.41734,1
11792,28804.70554,28807.14848,1
11863,28978.15428,28980.59722,1
12013,29344.59528,29347.03822,1
12025,29373.91056,29376.35350,1
12032,29391.01114,29393.45408,1
12034,29395.89702,29398.33996,1
12076,29498.50050,29500.94344,1
12212,29830.74034,29833.18328,1
12216,29840.51210,29842.95504,1
12241,29901.58560,29904.02854,1
12306,30060.37670,30062.81964,1
12309,30067.70552,30070.14846,1
12316,30084.80610,30087.24904,1
12336,30133.66490,30136.10784,1
12376,30231.38250,30233.82544,1
12385,30253.36896,30255.81190,1
12431,30365.74420,30368.18714,1
12715,31059.53916,31061.98210,1
12760,31169.47146,31171.91440,1
12776,31208.55850,31211.00144,1
12984,31716.69002,31719.13296,1
13023,31811.96468,31814.40762,1
13025,31816.85056,31819.29350,1
13196,32234.59330,32237.03624,1
13227,32310.32444,32312.76738,1
13295,32476.44436,32478.88730,1
13404,32742.72482,32745.16776,1
13430,32806.24126,32808.68420,1
13433,32813.57008,32816.01302,1
13581,33175.12520,33177.56814,1
13601,33223.98400,33226.42694,1
13628,33289.94338,33292.38632,1
13711,33492.70740,33495.15034,1
13757,33605.08264,33607.52558,1
13782,33666.15614,33668.59908,1
13795,33697.91436,33700.35730,1
13840,33807.84666,33810.28960,1
13883,33912.89308,33915.33602,1
13996,34188.94530,34191.38824,1
14075,34381.93756,34384.38050,1
14380,35127.03426,35129.47720,1
14524,35478.81762,35481.26056,1
14572,35596.07874,35598.52168,1
14704,35918.54682,35920.98976,1
15018,36685.62998,36688.07292,1
15183,37088.71508,37091.15802,1
15462,37770.29534,37772.73828,1
15489,37836.25472,37838.69766,1
15761,38500.73440,38503.17734,1
15775,38534.93556,38537.37850,1
15802,38600.89494,38603.33788,1
15813,38627.76728,38630.21022,1
15857,38735.25664,38737.69958,1
15982,39040.62414,39043.06708,1
16164,39485.23922,39487.68216,1
16481,40259.65120,40262.09414,1
16624,40608.99162,40611.43456,1
16682,40750.68214,40753.12508,1
16951,41407.83300,41410.27594,1
17199,42013.68212,42016.12506,1
17357,42399.66664,42402.10958,1
17685,43200.95096,43203.39390,1
17765,43396.38616,43398.82910,1
17811,43508.76140,43511.20434,1
17812,43511.20434,43513.64728,1
17934,43809.24302,43811.68596,1
17983,43928.94708,43931.39002,1
18001,43972.92000,43975.36294,1
18030,44043.76526,44046.20820,1
18048,44087.73818,44090.18112,1
18079,44163.46932,44165.91226,1
18142,44317.37454,44319.81748,1
18294,44688.70142,44691.14436,1
18317,44744.88904,44747.33198,1
18559,45336.08052,45338.52346,1
18614,45470.44222,45472.88516,1
18623,45492.42868,45494.87162,1
18745,45790.46736,45792.91030,1
18748,45797.79618,45800.23912,1
18757,45819.78264,45822.22558,1
18869,46093.39192,46095.83486,1
19197,46894.67624,46897.11918,1
19228,46970.40738,46972.85032,1
19420,47439.45186,47441.89480,1
19441,47490.75360,47493.19654,1
19602,47884.06694,47886.50988,1
19969,48780.62592,48783.06886,1
20140,49198.36866,49200.81160,1
20156,49237.45570,49239.89864,1
20479,50026.52532,50028.96826,1
21046,51411.67230,51414.11524,1
21071,51472.74580,51475.18874,1
21141,51643.75160,51646.19454,1
21398,52271.58718,52274.03012,1
21587,52733.30284,52735.74578,1
21766,53170.58910,53173.03204,1
21769,53177.91792,53180.36086,1
21983,53700.70708,53703.15002,1
