"bucket","lower_limit","upper_limit","num"
1,0.00000,977.17520,4039
2,977.17520,1954.35040,24
4,2931.52560,3908.70080,58
5,3908.70080,4885.87600,3
6,4885.87600,5863.05120,5
7,5863.05120,6840.22640,4
8,6840.22640,7817.40160,10
9,7817.40160,8794.57680,30
10,8794.57680,9771.75200,6
11,9771.75200,10748.92720,5
12,10748.92720,11726.10240,15
13,11726.10240,12703.27760,18
14,12703.27760,13680.45280,15
15,13680.45280,14657.62800,5
16,14657.62800,15634.80320,9
17,15634.80320,16611.97840,17
18,16611.97840,17589.15360,13
19,17589.15360,18566.32880,39
20,18566.32880,19543.50400,11
21,19543.50400,20520.67920,8
22,20520.67920,21497.85440,13
23,21497.85440,22475.02960,10
24,22475.02960,23452.20480,15
25,23452.20480,24429.38000,13
26,24429.38000,25406.55520,13
27,25406.55520,26383.73040,11
28,26383.73040,27360.90560,15
29,27360.90560,28338.08080,8
30,28338.08080,29315.25600,5
31,29315.25600,30292.43120,14
32,30292.43120,31269.60640,4
33,31269.60640,32246.78160,4
34,32246.78160,33223.95680,6
35,33223.95680,34201.13200,9
36,34201.13200,35178.30720,2
37,35178.30720,36155.48240,3
38,36155.48240,37132.65760,2
39,37132.65760,38109.83280,2
40,38109.83280,39087.00800,6
41,39087.00800,40064.18320,1
42,40064.18320,41041.35840,3
43,41041.35840,42018.53360,1
44,42018.53360,42995.70880,1
45,42995.70880,43972.88400,6
46,43972.88400,44950.05920,7
47,44950.05920,45927.23440,6
48,45927.23440,46904.40960,2
49,46904.40960,47881.58480,3
50,47881.58480,48858.76000,2
51,48858.76000,49835.93520,2
52,49835.93520,50813.11040,1
53,50813.11040,51790.28560,3
54,51790.28560,52767.46080,2
55,52767.46080,53744.63600,3
56,53744.63600,54721.81120,1
57,54721.81120,55698.98640,2
59,56676.16160,57653.33680,2
60,57653.33680,58630.51200,1
62,59607.68720,60584.86240,2
63,60584.86240,61562.03760,1
65,62539.21280,63516.38800,2
66,63516.38800,64493.56320,4
68,65470.73840,66447.91360,3
69,66447.91360,67425.08880,1
70,67425.08880,68402.26400,1
72,69379.43920,70356.61440,2
73,70356.61440,71333.78960,1
74,71333.78960,72310.96480,1
77,74265.31520,75242.49040,2
78,75242.49040,76219.66560,1
79,76219.66560,77196.84080,3
81,78174.01600,79151.19120,1
82,79151.19120,80128.36640,3
84,81105.54160,82082.71680,1
85,82082.71680,83059.89200,2
86,83059.89200,84037.06720,2
87,84037.06720,85014.24240,2
92,88922.94320,89900.11840,1
94,90877.29360,91854.46880,1
105,101626.22080,102603.39600,1
107,103580.57120,104557.74640,1
108,104557.74640,105534.92160,2
109,105534.92160,106512.09680,2
110,106512.09680,107489.27200,1
111,107489.27200,108466.44720,2
112,108466.44720,109443.62240,3
113,109443.62240,110420.79760,1
114,110420.79760,111397.97280,4
115,111397.97280,112375.14800,2
116,112375.14800,113352.32320,4
118,114329.49840,115306.67360,1
120,116283.84880,117261.02400,3
121,117261.02400,118238.19920,3
122,118238.19920,119215.37440,1
124,120192.54960,121169.72480,1
125,121169.72480,122146.90000,2
126,122146.90000,123124.07520,5
127,123124.07520,124101.25040,2
130,126055.60080,127032.77600,1
131,127032.77600,128009.95120,3
132,128009.95120,128987.12640,2
133,128987.12640,129964.30160,1
138,133873.00240,134850.17760,2
140,135827.35280,136804.52800,1
141,136804.52800,137781.70320,1
152,147553.45520,148530.63040,3
154,149507.80560,150484.98080,1
158,153416.50640,154393.68160,2
159,154393.68160,155370.85680,2
161,156348.03200,157325.20720,3
162,157325.20720,158302.38240,4
164,159279.55760,160256.73280,4
166,161233.90800,162211.08320,2
169,164165.43360,165142.60880,2
170,165142.60880,166119.78400,2
183,177845.88640,178823.06160,1
189,183708.93760,184686.11280,2
192,186640.46320,187617.63840,1
193,187617.63840,188594.81360,1
195,189571.98880,190549.16400,1
197,191526.33920,192503.51440,2
198,192503.51440,193480.68960,1
199,193480.68960,194457.86480,1
202,196412.21520,197389.39040,1
204,198366.56560,199343.74080,1
207,201298.09120,202275.26640,1
209,203252.44160,204229.61680,2
213,207161.14240,208138.31760,1
216,210092.66800,211069.84320,1
217,211069.84320,212047.01840,1
219,213024.19360,214001.36880,1
220,214001.36880,214978.54400,2
221,214978.54400,215955.71920,2
222,215955.71920,216932.89440,1
223,216932.89440,217910.06960,2
226,219864.42000,220841.59520,1
227,220841.59520,221818.77040,1
229,222795.94560,223773.12080,1
232,225727.47120,226704.64640,1
237,230613.34720,231590.52240,1
238,231590.52240,232567.69760,1
240,233544.87280,234522.04800,1
241,234522.04800,235499.22320,2
243,236476.39840,237453.57360,1
244,237453.57360,238430.74880,1
249,242339.44960,243316.62480,1
254,247225.32560,248202.50080,1
264,256997.07760,257974.25280,1
268,260905.77840,261882.95360,1
269,261882.95360,262860.12880,1
277,269700.35520,270677.53040,2
278,270677.53040,271654.70560,1
281,273609.05600,274586.23120,1
285,277517.75680,278494.93200,1
288,280449.28240,281426.45760,1
291,283380.80800,284357.98320,1
294,286312.33360,287289.50880,1
300,292175.38480,293152.56000,1
301,293152.56000,294129.73520,2
304,296084.08560,297061.26080,1
312,303901.48720,304878.66240,1
316,307810.18800,308787.36320,1
321,312696.06400,313673.23920,2
329,320513.46560,321490.64080,1
331,322467.81600,323444.99120,1
334,325399.34160,326376.51680,1
348,339079.79440,340056.96960,1
349,340056.96960,341034.14480,1
356,346897.19600,347874.37120,1
360,350805.89680,351783.07200,1
368,358623.29840,359600.47360,1
369,359600.47360,360577.64880,1
371,361554.82400,362531.99920,1
375,365463.52480,366440.70000,2
377,367417.87520,368395.05040,1
383,373280.92640,374258.10160,1
387,377189.62720,378166.80240,1
391,381098.32800,382075.50320,1
394,384029.85360,385007.02880,1
395,385007.02880,385984.20400,1
406,395755.95600,396733.13120,3
407,396733.13120,397710.30640,1
412,401619.00720,402596.18240,1
416,405527.70800,406504.88320,1
417,406504.88320,407482.05840,1
419,408459.23360,409436.40880,1
421,410413.58400,411390.75920,1
435,424094.03680,425071.21200,1
436,425071.21200,426048.38720,1
442,430934.26320,431911.43840,1
447,435820.13920,436797.31440,1
452,440706.01520,441683.19040,1
478,466112.57040,467089.74560,1
483,470998.44640,471975.62160,1
486,473929.97200,474907.14720,1
507,494450.65120,495427.82640,1
536,522788.73200,523765.90720,1
538,524743.08240,525720.25760,1
540,526697.43280,527674.60800,1
541,527674.60800,528651.78320,1
543,529628.95840,530606.13360,5
544,530606.13360,531583.30880,1
545,531583.30880,532560.48400,1
547,533537.65920,534514.83440,1
548,534514.83440,535492.00960,2
549,535492.00960,536469.18480,1
562,548195.28720,549172.46240,1
566,552103.98800,553081.16320,1
567,553081.16320,554058.33840,1
600,585327.94480,586305.12000,1
602,587282.29520,588259.47040,1
617,601939.92320,602917.09840,1
641,625392.12800,626369.30320,1
699,682068.28960,683045.46480,1
701,684022.64000,684999.81520,1
754,735812.92560,736790.10080,2
795,775877.10880,776854.28400,1
813,793466.26240,794443.43760,1
835,814964.11680,815941.29200,1
848,827667.39440,828644.56960,1
871,850142.42400,851119.59920,1
873,852096.77440,853073.94960,1
891,869685.92800,870663.10320,1
937,914635.98720,915613.16240,1
947,924407.73920,925384.91440,1
1054,1028965.48560,1029942.66080,1
1063,1037760.06240,1038737.23760,6
1064,1038737.23760,1039714.41280,2
1066,1040691.58800,1041668.76320,1
1072,1046554.63920,1047531.81440,1
1082,1056326.39120,1057303.56640,1
1100,1073915.54480,1074892.72000,1
1173,1145249.33440,1146226.50960,1
1175,1147203.68480,1148180.86000,1
1224,1195085.26960,1196062.44480,1
1338,1306483.24240,1307460.41760,1
1545,1508758.50880,1509735.68400,1
1840,1797025.19280,1798002.36800,1
1922,1877153.55920,1878130.73440,1
2111,2061839.67200,2062816.84720,1
2192,2140990.86320,2141968.03840,1
2253,2200598.55040,2201575.72560,1
2356,2301247.59600,2302224.77120,1
2499,2440983.64960,2441960.82480,1
4001,3908700.80000,3909677.97520,1
