"bucket","lower_limit","upper_limit","num"
941,110017.22400,110134.26360,138
945,110485.38240,110602.42200,426
954,111538.73880,111655.77840,624
961,112358.01600,112475.05560,348
962,112475.05560,112592.09520,762
967,113060.25360,113177.29320,203
981,114698.80800,114815.84760,349
1001,117039.60000,117156.63960,735
1005,117507.75840,117624.79800,325
1014,118561.11480,118678.15440,62
1028,120199.66920,120316.70880,77
1037,121253.02560,121370.06520,77
1045,122189.34240,122306.38200,3
1047,122423.42160,122540.46120,256
1049,122657.50080,122774.54040,103
1051,122891.58000,123008.61960,37
1052,123008.61960,123125.65920,599
1055,123359.73840,123476.77800,704
1058,123710.85720,123827.89680,87
1081,126402.76800,126519.80760,544
1089,127339.08480,127456.12440,403
1093,127807.24320,127924.28280,512
1102,128860.59960,128977.63920,99
1150,134478.50040,134595.54000,353
1162,135882.97560,136000.01520,31
1176,137521.53000,137638.56960,228
1263,147703.97520,147821.01480,76
1317,154024.11360,154141.15320,275
1319,154258.19280,154375.23240,168
1321,154492.27200,154609.31160,207
1323,154726.35120,154843.39080,76
1344,157184.18280,157301.22240,661
1346,157418.26200,157535.30160,47
1363,159407.93520,159524.97480,30
1366,159759.05400,159876.09360,62
1368,159993.13320,160110.17280,443
1384,161865.76680,161982.80640,55
1386,162099.84600,162216.88560,478
1408,164674.71720,164791.75680,278
1413,165259.91520,165376.95480,732
1417,165728.07360,165845.11320,163
1525,178368.35040,178485.39000,92
1609,188199.67680,188316.71640,153
1625,190072.31040,190189.35000,17
1637,191476.78560,191593.82520,135
1643,192179.02320,192296.06280,114
1651,193115.34000,193232.37960,517
1657,193817.57760,193934.61720,237
1680,196509.48840,196626.52800,363
1700,198850.28040,198967.32000,119
1727,202010.34960,202127.38920,319
1739,203414.82480,203531.86440,2
1744,204000.02280,204117.06240,387
1776,207745.29000,207862.32960,690
1797,210203.12160,210320.16120,31
1827,213714.30960,213831.34920,59
1832,214299.50760,214416.54720,34
1838,215001.74520,215118.78480,49
1839,215118.78480,215235.82440,326
1847,216055.10160,216172.14120,311
1885,220502.60640,220619.64600,23
1888,220853.72520,220970.76480,251
1905,222843.39840,222960.43800,337
1977,231270.24960,231387.28920,32
1987,232440.64560,232557.68520,8
1997,233611.04160,233728.08120,315
2007,234781.43760,234898.47720,273
2011,235249.59600,235366.63560,99
2027,237122.22960,237239.26920,756
2037,238292.62560,238409.66520,1001
2121,248123.95200,248240.99160,420
2231,260998.30800,261115.34760,7
2245,262636.86240,262753.90200,183
2308,270010.35720,270127.39680,291
2311,270361.47600,270478.51560,248
2320,271414.83240,271531.87200,44
2344,274223.78280,274340.82240,184
2379,278320.16880,278437.20840,500
2400,280778.00040,280895.04000,40
2455,287215.17840,287332.21800,153
2513,294003.47520,294120.51480,215
2533,296344.26720,296461.30680,106
2604,304654.07880,304771.11840,444
2639,308750.46480,308867.50440,418
2672,312612.77160,312729.81120,320
2761,323029.29600,323146.33560,612
2900,339297.80040,339414.84000,27
2971,347607.61200,347724.65160,625
3006,351703.99800,351821.03760,583
3067,358843.41360,358960.45320,206
3081,360481.96800,360599.00760,621
3124,365514.67080,365631.71040,356
3128,365982.82920,366099.86880,26
3192,373473.36360,373590.40320,638
3231,378037.90800,378154.94760,47
3297,385762.52160,385879.56120,766
3383,395827.92720,395944.96680,231
3387,396296.08560,396413.12520,64
3390,396647.20440,396764.24400,430
3473,406361.49120,406478.53080,481
3481,407297.80800,407414.84760,239
3511,410808.99600,410926.03560,604
3626,424268.55000,424385.58960,13
3732,436674.74760,436791.78720,50
3769,441005.21280,441122.25240,1
3984,466168.72680,466285.76640,215
4032,471786.62760,471903.66720,954
4472,523284.05160,523401.09120,32
4485,524805.56640,524922.60600,365
4501,526678.20000,526795.23960,584
4509,527614.51680,527731.55640,139
4533,530423.46720,530540.50680,1155
4535,530657.54640,530774.58600,434
4563,533934.65520,534051.69480,148
4569,534636.89280,534753.93240,257
4576,535456.17000,535573.20960,311
4584,536392.48680,536509.52640,349
4720,552309.87240,552426.91200,70
4731,553597.30800,553714.34760,73
5003,585432.07920,585549.11880,377
5025,588006.95040,588123.99000,557
5148,602402.82120,602519.86080,35
5348,625810.74120,625927.78080,297
5835,682809.02640,682926.06600,6
6295,736647.24240,736764.28200,75
6636,776557.74600,776674.78560,298
6785,793996.64640,794113.68600,310
7072,827587.01160,827704.05120,141
7268,850526.77320,850643.81280,541
7284,852399.40680,852516.44640,272
7817,914781.51360,914898.55320,214
7900,924495.80040,924612.84000,345
8793,1029012.16320,1029129.20280,436
8875,1038609.41040,1038726.45000,59
8880,1039194.60840,1039311.64800,965
8944,1046685.14280,1046802.18240,147
9034,1057218.70680,1057335.74640,446
9791,1145817.68400,1145934.72360,593
9808,1147807.35720,1147924.39680,806
10218,1195793.59320,1195910.63280,305
11167,1306864.17360,1306981.21320,518
15355,1797026.01840,1797143.05800,718
17622,2062354.79160,2062471.83120,79
18803,2200578.55920,2200695.59880,446
19663,2301232.61520,2301349.65480,677
20861,2441446.05600,2441563.09560,348
